age,sex,marital,coninc,degree,happy,health
39.0,female,separated,441.0,high school,unanswered,good
31.0,male,married,9924.0,less than high school,not too happy,fair
25.0,male,never married,39695.0,associate/junior college,pretty happy,fair
51.0,male,never married,59542.0,graduate,very happy,excellent
23.0,male,never married,4852.0,high school,pretty happy,unanswered
36.0,female,married,,less than high school,unanswered,fair
50.0,female,divorced,18745.0,high school,unanswered,good
50.0,female,divorced,24258.0,high school,pretty happy,excellent
70.0,female,widowed,12129.0,high school,unanswered,excellent
29.0,female,married,59542.0,bachelor's,unanswered,excellent
39.0,male,married,59542.0,associate/junior college,pretty happy,fair
27.0,male,never married,20950.0,high school,not too happy,unanswered
51.0,male,married,48516.0,high school,very happy,good
61.0,male,married,33079.0,high school,pretty happy,fair
23.0,female,married,33079.0,high school,very happy,good
82.0,male,widowed,48516.0,bachelor's,pretty happy,fair
47.0,female,never married,39695.0,associate/junior college,pretty happy,unanswered
30.0,male,separated,59542.0,less than high school,pretty happy,excellent
25.0,male,married,33079.0,bachelor's,pretty happy,excellent
32.0,male,never married,28668.0,high school,pretty happy,unanswered
35.0,male,married,24258.0,high school,pretty happy,good
75.0,female,married,88211.0,bachelor's,unanswered,excellent
84.0,male,widowed,24258.0,bachelor's,pretty happy,fair
53.0,female,married,88211.0,high school,unanswered,good
54.0,male,never married,,bachelor's,pretty happy,excellent
30.0,male,never married,39695.0,graduate,pretty happy,good
81.0,female,widowed,48516.0,bachelor's,unanswered,fair
39.0,male,divorced,123496.0,graduate,pretty happy,unanswered
56.0,female,married,178266.0,associate/junior college,very happy,good
34.0,female,married,178266.0,bachelor's,unanswered,excellent
77.0,female,married,39695.0,high school,unanswered,poor
80.0,male,widowed,59542.0,bachelor's,unanswered,good
34.0,male,divorced,72774.0,bachelor's,pretty happy,excellent
82.0,male,widowed,105852.0,graduate,unanswered,poor
26.0,female,married,59542.0,bachelor's,pretty happy,unanswered
48.0,male,married,59542.0,graduate,pretty happy,unanswered
39.0,female,never married,123496.0,bachelor's,pretty happy,unanswered
43.0,female,never married,48516.0,graduate,unanswered,excellent
22.0,female,never married,7939.0,bachelor's,pretty happy,good
39.0,female,divorced,39695.0,high school,pretty happy,excellent
